,avgtempo,base_name,chord_changes,chorus_count,compid,filename_solo,filename_solo_backing,filename_solo_solo,filename_sv,genre,instrument,key,melid,performer,recording_year,rhythmfeel,signature,solopart,style,tempoclass,title,titleaddon,tonalitytype,trackid,tuning_frequency,intensity_solo_5_to_95_percentile_range,intensity_backing_5_to_95_percentile_range
11,185.0,BennyCarter_LongAgoAndFarAway-1_Solo,"A1: ||F6 D-7 |G-7 C7 |Fj7   |G-7 C7 |F6   |G-7 C7 |A-7 D7 |G-7 C7 ||
B1: ||Ab6   |Bb-7 Eb7 |Abj7   |G7   |Cj7   |A-7  D7|G-7   |C7   ||
A2: ||F6 D-7 |G-7 C7 |Fj7   |G-7 C7 |F6   |G-7 C7 |A-7 D7 |G-7 C7 ||
C1: ||C-7   |F7   |Bbj7   |Eb7   |F6 D-7 |G-7 C7 |F6   |G-7 C7 |C7   ||",1,9,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyCarter_LongAgoAndFarAway-1_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_LongAgoAndFarAway-1_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_LongAgoAndFarAway-1_Solo_Solo.wav,BennyCarter_LongAgoAndFarAway-1_FINAL.sv,GREAT AMERICAN SONGBOOK,as,F-maj,11,Benny Carter,1952,SWING,4/4,1,SWING,UP,Long Ago and Far Away,,FUNCTIONAL,9,442.101,16.4150195872,11.8470727938
12,185.8,BennyCarter_LongAgoAndFarAway-2_Solo,"A1: ||F6 D-7 |G-7 C7 |Fj7 D-7 |G-7 C7 |F6   |G-7 C7 |F6 D7 |G-7 C7 ||
B1: ||Ab6 F-7 |Bb-7 Eb7 |Abj7   |G7   |Cj7   |A-7   |G-7   |C7   ||
A2: ||F6 D-7 |G-7 C7 |Fj7 D-7 |G-7 C7 |F6 D-7 |G-7 C7 |F6 D7 |G-7 C7 ||
C1: ||C-7   |F7   |Bbj7   |Bb-6 Eb7 |F6/A Abo7 |G-7 C7 |F6   |G-7 C7 |F6/A Abo7 |G-7 C7 |F6   |F6   |F6   |F6   ||",1,9,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyCarter_LongAgoAndFarAway-2_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_LongAgoAndFarAway-2_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_LongAgoAndFarAway-2_Solo_Solo.wav,BennyCarter_LongAgoAndFarAway-2_FINAL.sv,GREAT AMERICAN SONGBOOK,as,F-maj,12,Benny Carter,1952,SWING,4/4,2,SWING,UP,Long Ago and Far Away,,FUNCTIONAL,9,441.596,15.2480267588,11.7282305364
13,91.5,BennyCarter_SweetLorraine_Solo,"A1: ||Gj7F7E7 |A-7 D7Ebo|E-7 D-7G7|C7 B7 |E7 A7 |A-7 D7 |Gj7F7E7 |A7 D7 ||
A2: ||Gj7F7E7 |A-7 D7Ebo|E-7 D-7G7|C7 B7 |E7 A7 |A-7 D7 |G6 C7Dbo|G6/D G7Db7||
B1: ||Cj7 Bm7b5E7|A-7Ab7G-7C7|F7 E7 |A-7Ab7G-7C7|F7 E7 |Eb7911# D7 |F7 E7 |Eb7911# D7 ||
A3: ||Gj7F7E7 |A-7 D7Ebo|E-7 D-7G7|C7 B7 |E7 A7 |A-7 D7 |G6F7E7 |A7 D7 ||",1,10,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyCarter_SweetLorraine_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_SweetLorraine_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_SweetLorraine_Solo_Solo.wav,BennyCarter_SweetLorraine_FINAL.sv,GREAT AMERICAN SONGBOOK,as,G-maj,13,Benny Carter,1986,SWING,4/4,1,SWING,MEDIUM SLOW,Sweet Lorraine,,FUNCTIONAL,10,445.212,10.3532418611,7.05160690395
14,241.0,BennyGoodman_Avalon_Solo,"A1: ||Bb7   |Bb7   |Bb7   |Bb7   |Eb   |Eb   |Eb   |Eb   |Bb7   |Bb7   |Bb7   |Bb7   |Eb   |Eb   |Eb   |Eb   ||
B1: ||C7   |C7   |C7   |C7   |F-7   |F-7   |Ab-7   |Ab-7   |Eb   |Eb   |C7   |C7   |F-7   |Bb7   |Eb   |Eb   ||",1,11,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyGoodman_Avalon_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Avalon_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Avalon_Solo_Solo.wav,BennyGoodman_Avalon_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Eb-maj,14,Benny Goodman,1937,SWING,4/4,1,SWING,UP,Avalon,,FUNCTIONAL,11,437.726,10.5594188693,13.5821329082
15,303.1,BennyGoodman_HandfulOfKeys_Solo,"A1: ||Eb F-7 |Eb6 Gbo |F- F-7 |F-6 Gbo |F- F-7 |F-6 Bb7 |Eb C-7 |F-7 Bb7 ||
A2: ||Eb F-7 |Eb6 Gbo |F- F-7 |F-6 Gbo |F- F-7 |F-6 Bb7 |Eb Bbm7b5 |Eb D7 ||
I1: ",1,12,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyGoodman_HandfulOfKeys_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_HandfulOfKeys_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_HandfulOfKeys_Solo_Solo.wav,BennyGoodman_HandfulOfKeys_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Eb-maj,15,Benny Goodman,1937,SWING,4/4,1,SWING,UP,Handful of Keys,,FUNCTIONAL,12,444.427,12.8212022919,14.7446917387
16,311.3,BennyGoodman_Nobody'sSweetheart_Solo,"A1: ||Ab   |Ab   |F7   |F7   |F-7   |F-7   |Bb7   |Bb7   |Eb   |Eb   |C7   |C7   |Ab   |Ab   |Eb7   |Eb7   ||
B1: ||Ab   |Ab   |F7   |F7   |Bb7   |Bb7   |Bb7   |Bb7   |F-   |F-   |Eo   |Eo   |Ab   |Ab   |Bb-   |Eb7   |Ab   |Ab C7 |F7   |F7   |Bb7   |Eb7   |Ab   |Ab   |Ab   |Ab   ||",1,13,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyGoodman_Nobody'sSweetheart_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Nobody'sSweetheart_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Nobody'sSweetheart_Solo_Solo.wav,BennyGoodman_Nobody'sSweetheart_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Ab-maj,16,Benny Goodman,1936,SWING,4/4,1,SWING,UP,Nobody's Sweetheart,,FUNCTIONAL,13,441.113,9.29673514688,10.8532051543
17,285.0,BennyGoodman_Runnin'Wild_Solo,"A1: ||Bb   |Bb   |Bb7   |Bb7   |Eb   |Eb   |Bb   |Bb   |F7   |C-6 D7 |G-   |Bb-6   |F   |C7   |F7   |F7   ||
B1: ||Bb   |Bb   |Bb7   |Bb7   |Eb   |Eb   |D7   |D7 G7 |C7   |F7   |Bb   |Bb   |F7   |F7   |Bb   |Bb   ||
I1: ||NC   ||",1,14,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyGoodman_Runnin'Wild_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Runnin'Wild_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Runnin'Wild_Solo_Solo.wav,BennyGoodman_Runnin'Wild_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Bb-maj,17,Benny Goodman,1937,SWING,4/4,1,SWING,UP,Runnin' Wild,,FUNCTIONAL,14,440.421,10.3417046611,13.7612758007
18,268.0,BennyGoodman_TigerRag-1_Solo,"A1: ||Ab   |Ab   |Ab   |Ab   |Ab   |Ab   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Ab   |Ab   ||
B1: ||Ab   |Ab   |Ab   |Ab   |Ab7   |Ab7   |Db   |Db   |Db   |Db-   |Ab   |F7   |Bb7   |Eb7   |Ab   |Ab   |Ab   |Ab   ||",1,15,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyGoodman_TigerRag-1_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_TigerRag-1_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_TigerRag-1_Solo_Solo.wav,BennyGoodman_TigerRag-1_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Ab-maj,18,Benny Goodman,1936,SWING,4/4,1,SWING,UP,Tiger Rag,,FUNCTIONAL,15,437.75,16.1681213226,17.5540250179
19,271.2,BennyGoodman_TigerRag-2_Solo,"A1: ||Ab   |Ab   |Ab   |Ab   |Ab   |Ab   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Ab   |Ab   ||
B1: ||Ab   |Ab   |Ab   |Ab   |Ab7   |Ab7   |Db   |Db   |Db   |Db-   |Ab   |F7   |Bb7   |Eb7   |Ab   |Ab   |Db   |Db-   |Ab   |F7   |Bb7   |Eb7   |Ab   |Ab   |Ab   ||",1,15,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyGoodman_TigerRag-2_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_TigerRag-2_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_TigerRag-2_Solo_Solo.wav,BennyGoodman_TigerRag-2_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Ab-maj,19,Benny Goodman,1936,SWING,4/4,2,SWING,UP,Tiger Rag,,FUNCTIONAL,15,436.761,12.9235268853,22.2553075628
20,198.6,BennyGoodman_Whispering_Solo,"A1: ||Eb   |Eb   |D7   |D7   |Eb   |Eb   |C+7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb   |Eb   |Bb7   |Bb+7   ||
A2: ||Eb   |Eb   |D7   |D7   |Eb   |Eb   |C+7   |C7   |F7   |F7   |Bb7   |Bb7   |F-7   |Bb7   |Eb   |F-7 Bb7 ||
I1: ||Eb   |Eb   ||",1,16,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyGoodman_Whispering_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Whispering_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyGoodman_Whispering_Solo_Solo.wav,BennyGoodman_Whispering_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Eb-maj,20,Benny Goodman,1936,SWING,4/4,1,SWING,UP,Whispering,,FUNCTIONAL,16,440.494,16.9738196439,13.2504521652
21,140.8,BenWebster_ByeByeBlackbird_Solo,"A1: ||Gj7   |Gj7   |Gj7   |Gj7   |Gj7   |Bbo   |A-7   |D7   |A-7   |D7   |A-7   |D7   |A-7   |D7   |Gj7   |Gj7   ||
B1: ||G7   |G7   |Bm7b5   |E7   |A-7   |A-7   |C-7 F7 |A-7 D7 |Gj7   |Gj7   |Bm7b5   |E7   |A-7   |D7   |Gj7   |Gj7   ||",3,17,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BenWebster_ByeByeBlackbird_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_ByeByeBlackbird_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_ByeByeBlackbird_Solo_Solo.wav,BenWebster_ByeByeBlackbird_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,G-maj,21,Ben Webster,1959,SWING,4/4,1,SWING,MEDIUM UP,Bye Bye Blackbird,,FUNCTIONAL,17,440.762,12.4644311738,13.77347781
22,118.4,BenWebster_DidYouCallHerToday_Solo,A1: ||Bb7   |Eb7   |Ab6   |Ab6   |Eb-7   |Ab7   |Db6   |Db6   |Db7   |Do   |Ab6   |F7   |Bb7   |Bb7   |Bb-7   |Eb7   ||,4,18,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BenWebster_DidYouCallHerToday_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_DidYouCallHerToday_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_DidYouCallHerToday_Solo_Solo.wav,BenWebster_DidYouCallHerToday_FINAL.sv,ORIGINAL,ts,Ab-maj,22,Ben Webster,1962,SWING,4/4,1,SWING,MEDIUM,Did You Call Her Today,,FUNCTIONAL,18,439.493,15.6439824936,17.4252389689
23,74.2,BenWebster_MyIdeal_Solo,"A1: ||Bbj7 G7 |C-7   |Ab7 G7 |C7   |C-7 F7 |Am7b5 D7 |G-7 C7 |Gb7 F7 ||
B1: ||Bbj7 G7 |C-7   |Ab7 G7 |C7   |C-7 Db-7 |Bbj7Ebj7G-7C7|Gb7 F7 |Bb6   ||",2,19,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BenWebster_MyIdeal_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_MyIdeal_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_MyIdeal_Solo_Solo.wav,BenWebster_MyIdeal_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,Bb-maj,23,Ben Webster,1956,SWING,4/4,1,SWING,SLOW,My Ideal,,FUNCTIONAL,19,442.474,14.5831076656,18.6495206166
24,182.2,BenWebster_NightAndDay_Solo,"A1: ||Em7b5   |A7   |Dj7   |Dj7   |Em7b5   |A7   |Dj7   |Dj7   ||
B1: ||G#m7b5   |G-7   |F#-7   |Fo   |E-7   |A7   |Dj7   |Dj7   ||
A2: ||Em7b5   |A7   |Dj7   |Dj7   |Em7b5   |A7   |Dj7   |Dj7   ||
B2: ||G#m7b5   |G-7   |F#-7   |Fo   |E-7   |A7   |Dj7   |C7   ||
C1: ||Fj7   |Fj7   |Dj7   |Dj7   |Fj7   |Fj7   |Dj7   |Dj7   ||
B3: ||G#m7b5   |G-7   |F#-7   |Fo   |E-7   |A7   |D6   |E7 A7 ||",2,20,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BenWebster_NightAndDay_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_NightAndDay_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BenWebster_NightAndDay_Solo_Solo.wav,BenWebster_NightAndDay_FINAL.sv,GREAT AMERICAN SONGBOOK,ts,D-maj,24,Ben Webster,1956,SWING,4/4,1,SWING,UP,Night And Day,,FUNCTIONAL,20,444.731,13.1004585919,13.1712278878
