id;mean_length_arpeggio_ascending;mean_length_arpeggio_descending;mean_length_arpeggio;cdpcx_density_2;cdpcx_density_L;cdpcx_density_b6;cdpcx_density_B;cdpcx_density_b2;cdpcx_density_4;cdpcx_density_<;cdpcx_density_>;cdpcx_density_1;cdpcx_density_3;cdpcx_density_6;cdpcx_density_5;cdpcx_density_T;cdpcx_density_7;cdpcx_entropy;mean_length_chromatic_ascending;mean_length_chromatic_descending;mean_length_chromatic_mixed;cpc_bigram_entropy;durclass_bigram_entropy;durclass_abs_hist_04_long;durclass_rel_hist_04_long;durclass_rel_hist_02_short;durclass_rel_entropy;durclass_abs_hist_01_very_short;durclass_abs_hist_05_very_long;durclass_rel_hist_01_very_short;durclass_rel_hist_05_very_long;durclass_rel_hist_03_medium;durclass_abs_entropy;durclass_abs_hist_03_medium;durclass_abs_hist_02_short;mean_seg_len_04_long;mean_seg_len_02_short;mean_seg_len_01_very_short;durclass_mean_seg_len;mean_seg_len_05_very_long;mean_seg_len_03_medium;fuzzyint_bigram_entropy;fuzzyint_hist_01_big_jump_up;fuzzyint_hist_08_jump_down;fuzzyint_hist_04_step_up;fuzzyint_hist_05_repeat;fuzzyint_hist_09_big_jump_down;fuzzyint_hist_07_leap_down;fuzzyint_hist_06_step_down;fuzzyint_hist_03_leap_up;fuzzyint_hist_02_jump_up;fuzzyint_entropy;art_range;art_median;art_std;metrical_event_density;event_density;performer;title;full_title;style;rhythmfeel;instrument;avgtempo;tonality_type;recordingyear;int_bigram_entropy;mean_length_chromatic_sequences;ratio_chromatic_sequences;int_std;int_min;int_range;abs_int_range;abs_int_mean;int_entropy;ioiclass_bigram_entropy;ioiclass_rel_hist_05_very_long;ioiclass_abs_hist_04_long;ioiclass_rel_hist_04_long;ioiclass_rel_hist_02_short;ioiclass_rel_hist_03_medium;ioiclass_abs_hist_03_medium;ioiclass_abs_hist_02_short;ioiclass_abs_hist_01_very_short;ioiclass_abs_hist_05_very_long;ioiclass_abs_entropy;ioiclass_rel_entropy;ioiclass_rel_hist_01_very_short;aic_mean_seg_len_02_short;ric_mean_seg_len_02_short;aic_mean_seg_len_04_long;aic_mean_seg_len;aic_mean_seg_len_05_very_long;aic_mean_seg_len_01_very_short;ric_mean_seg_len_04_long;aic_mean_seg_len_03_medium;ric_mean_seg_len;ric_mean_seg_len_01_very_short;ric_mean_seg_len_03_medium;ric_mean_seg_len_05_very_long;mcm_entropy;mcm_mean_angle;mcm_var;syncopicity;metric_complexity;metric_complexity_division;metric_complexity_compression;parsons_bigram_entropy;parsons_hist_ascending;parsons_hist_descending;parsons_hist_constant;parsons_entropy;mean_length_seq_ascending;mean_length_seq_descending;mean_length_seq_repitition;ratio_ascending_descending;pc_entropy;pc_circ_var;mean_number_of_unique_pc;pitch_entropy;pitch_range;pitch_median;pitch_std;extrema_ratio;mean_length_step_ascending;mean_length_step_descending;mean_length_step;nPVI_dur;nPVI_ioi
ColemanHawkins_SophisticatedLady_FINAL.sv;3.47;3.43;3.56;0.07;0.05;0.06;0.02;0.04;0.07;0.01;0.01;0.14;0.12;0.11;0.14;0.05;0.13;0.92;3.5;3.4;3.52;6.52;2.73;0.02;0.01;0.13;0.34;0.51;0.0;0.84;0.0;0.03;0.61;0.07;0.4;1.0;1.22;6.57;3.78;1.0;1.0;4.74;0.02;0.05;0.36;0.01;0.02;0.13;0.26;0.11;0.04;0.71;0.89;0.78;0.13;14.25;4.01;Coleman Hawkins;Sophisticated Lady;Sophisticated Lady-1;SWING;SWING;ts;67.6;FUNCTIONAL;1949;6.46;3.47;0.12;3.24;-17;30;17;2.57;3.47;2.22;0.0;0.04;0.02;0.21;0.05;0.07;0.54;0.34;0.01;0.66;0.56;0.73;2.86;1.23;1.0;2.25;1.0;2.3;1.0;1.23;2.32;3.69;1.0;0.0;0.96;37.91;0.89;0.469827586207;0.0884871413214;0.174100719424;0.00287356321839;2.12;0.53;0.46;0.01;0.67;4.78;4.24;0.0;1.15;0.98;0.87;8.32;4.21;27;60.0;4.84;0.41;4.33;3.98;5.05;0.59;0.59
ColemanHawkins_Stompin'AtTheSavoy_FINAL.sv;3.38;3.0;3.87;0.06;0.04;0.1;0.09;0.12;0.09;0.0;0.01;0.06;0.06;0.05;0.06;0.12;0.14;0.95;3.75;3.75;3.83;6.52;1.46;0.0;0.01;0.77;0.53;0.84;0.0;0.13;0.0;0.09;0.37;0.01;0.15;1.0;4.75;1.25;2.84;0.0;1.2;4.96;0.03;0.04;0.3;0.03;0.01;0.18;0.25;0.1;0.06;0.74;0.92;0.82;0.22;5.35;5.58;Coleman Hawkins;Stompin' at the Savoy;Stompin' at the Savoy-1;SWING;SWING;ts;250.2;FUNCTIONAL;1954;6.36;3.75;0.13;3.12;-9;21;12;2.52;3.47;3.08;0.02;0.03;0.06;0.62;0.21;0.06;0.35;0.56;0.0;0.69;0.68;0.09;1.25;3.04;1.0;1.53;0.0;1.96;1.0;1.0;1.92;1.25;1.28;1.0;0.75;45.03;0.98;0.303468208092;0.204142581888;0.266666666667;0.14161849711;2.34;0.49;0.48;0.03;0.74;4.3;4.02;3.0;1.02;0.97;0.93;8.42;4.13;24;61.0;4.68;0.45;3.9;3.48;4.33;0.45;0.45
CurtisFuller_BlueTrain_FINAL.sv;3.63;3.0;3.54;0.1;0.03;0.03;0.02;0.04;0.11;0.0;0.0;0.16;0.13;0.08;0.14;0.02;0.15;0.87;4.8;3.29;4.17;6.26;2.41;0.0;0.0;0.35;0.84;0.61;0.0;0.55;0.0;0.1;0.77;0.07;0.32;0.0;1.63;2.57;1.98;0.0;1.3;4.65;0.01;0.02;0.25;0.06;0.01;0.13;0.34;0.18;0.02;0.7;0.94;0.77;0.23;6.5;3.56;Curtis Fuller;Blue Train;Blue Train-1;HARDBOP;SWING;tb;131.8;BLUES;1957;6.02;3.92;0.09;2.74;-12;23;12;2.25;3.32;3.58;0.01;0.06;0.07;0.45;0.19;0.19;0.4;0.34;0.01;0.78;0.78;0.28;1.86;1.84;1.0;1.67;1.0;1.93;1.04;1.38;1.57;1.52;1.46;1.0;0.87;45.51;0.91;0.371727748691;0.188210276072;0.292650918635;0.0837696335079;2.48;0.45;0.49;0.06;0.79;3.95;4.16;4.0;0.91;0.92;0.96;5.67;3.99;26;60.0;4.75;0.42;4.36;3.73;5.06;0.52;0.52
CurtisFuller_DownUnder_FINAL.sv;0.0;3.0;3.0;0.1;0.06;0.08;0.03;0.05;0.08;0.0;0.0;0.18;0.08;0.06;0.11;0.05;0.12;0.9;3.33;3.0;3.14;5.84;2.38;0.0;0.01;0.43;0.75;0.56;0.0;0.43;0.0;0.13;0.78;0.06;0.38;1.0;1.59;1.38;1.43;0.0;1.23;4.48;0.02;0.01;0.25;0.14;0.0;0.13;0.35;0.1;0.02;0.69;0.93;0.78;0.25;5.22;3.21;Curtis Fuller;Down Under;Down Under-1;HARDBOP;SWING;tb;147.4;BLUES;1961;5.41;3.25;0.08;2.6;-5;17;12;1.99;3.12;3.73;0.02;0.05;0.1;0.38;0.32;0.21;0.42;0.31;0.01;0.78;0.83;0.18;1.4;1.73;1.0;1.26;1.0;1.23;1.0;1.14;1.39;1.24;1.36;1.0;0.76;11.35;0.93;0.361344537815;0.261928500214;0.338983050847;0.18487394958;2.78;0.38;0.48;0.14;0.9;3.88;3.71;3.0;0.79;0.91;0.89;4.0;3.74;18;60.0;4.41;0.36;3.33;3.67;3.78;0.7;0.7
DavidLiebman_BeginTheBeguine_FINAL.sv;3.25;3.0;3.33;0.14;0.0;0.02;0.02;0.04;0.05;0.03;0.0;0.12;0.13;0.14;0.18;0.06;0.06;0.87;3.67;3.67;3.58;6.01;1.5;0.0;0.0;0.13;0.4;0.84;0.0;0.83;0.0;0.03;0.39;0.03;0.12;1.0;1.24;7.36;3.89;0.0;1.0;5.27;0.03;0.09;0.29;0.06;0.02;0.13;0.21;0.12;0.06;0.81;0.91;0.82;0.2;9.59;4.81;David Liebman;Begin the Beguine;Begin the Beguine-1;POSTBOP;SWING;ss;120.1;FUNCTIONAL;1988;6.33;3.67;0.05;4.01;-12;33;21;3.01;3.62;2.54;0.02;0.02;0.03;0.25;0.05;0.05;0.26;0.64;0.02;0.59;0.58;0.66;1.6;1.66;1.0;2.5;1.0;4.18;1.0;1.33;2.72;4.77;1.33;1.0;0.93;30.34;0.89;0.366771159875;0.099036888074;0.185534591195;0.012539184953;2.52;0.49;0.45;0.06;0.8;5.07;4.43;3.67;1.08;0.88;0.94;5.53;4.38;31;72.0;7.52;0.39;4.0;3.4;5.07;0.4;0.4
DavidLiebman_Day&Nite_FINAL.sv;3.1;3.11;3.3;0.12;0.02;0.06;0.03;0.04;0.1;0.02;0.03;0.11;0.09;0.1;0.13;0.06;0.11;0.94;3.27;4.43;4.4;6.57;2.17;0.0;0.03;0.72;0.54;0.7;0.0;0.13;0.0;0.12;0.47;0.04;0.26;1.05;4.02;1.26;2.42;1.0;1.17;4.76;0.01;0.05;0.33;0.04;0.01;0.12;0.3;0.1;0.05;0.71;0.97;0.87;0.19;4.38;4.47;David Liebman;Day & Nite;Day & Nite-1;POSTBOP;SWING;ss;244.9;COLOR;1988;6.41;4.06;0.13;3.11;-21;34;21;2.42;3.47;3.0;0.04;0.03;0.04;0.64;0.21;0.04;0.42;0.49;0.01;0.62;0.66;0.07;1.37;3.49;1.0;1.45;1.0;1.66;1.1;1.07;2.12;1.16;1.39;1.0;0.75;30.3;0.96;0.274725274725;0.169270623427;0.265281173594;0.0732600732601;2.37;0.49;0.47;0.04;0.76;4.66;4.86;5.0;1.03;0.98;0.96;8.92;4.62;30;71.0;6.75;0.37;4.21;4.37;5.67;0.52;0.52
DavidLiebman_I'veGotYouUnderMySkin_FINAL.sv;3.63;3.45;3.77;0.09;0.04;0.05;0.06;0.08;0.07;0.02;0.01;0.15;0.11;0.05;0.1;0.07;0.11;0.96;3.5;3.7;3.48;6.75;1.8;0.0;0.01;0.72;0.6;0.74;0.0;0.14;0.0;0.13;0.58;0.02;0.24;1.18;5.33;1.67;3.3;0.0;1.76;5.18;0.02;0.07;0.28;0.02;0.03;0.15;0.23;0.14;0.07;0.78;0.95;0.94;0.2;5.37;5.73;David Liebman;I've Got You Under My Skin;I've Got You Under My Skin-1;POSTBOP;SWING;ss;256.2;FUNCTIONAL;1988;6.96;3.6;0.06;3.79;-24;37;24;3.01;3.76;2.87;0.02;0.02;0.05;0.66;0.17;0.05;0.29;0.63;0.0;0.56;0.64;0.09;1.4;4.1;1.0;2.08;1.0;2.97;1.28;1.4;2.53;1.41;1.6;1.0;0.76;22.5;0.97;0.292122538293;0.180096155459;0.215772179628;0.144420131291;2.14;0.51;0.47;0.02;0.7;4.72;4.48;4.33;1.07;0.98;0.95;8.79;4.57;32;71.0;6.23;0.39;4.0;3.75;4.31;0.4;0.4
DavidLiebman_Milestones_FINAL.sv;3.14;3.18;3.58;0.13;0.07;0.1;0.01;0.03;0.09;0.0;0.02;0.07;0.11;0.09;0.1;0.06;0.12;0.93;3.25;4.0;3.8;6.54;1.78;0.0;0.01;0.33;0.67;0.76;0.0;0.58;0.0;0.08;0.49;0.04;0.19;1.0;2.24;4.04;2.76;0.0;1.29;5.27;0.03;0.08;0.25;0.07;0.02;0.14;0.22;0.13;0.06;0.82;0.93;0.81;0.18;8.18;5.31;David Liebman;Milestones;Milestones-1;POSTBOP;SWING;ss;156.0;MODAL;1992;6.76;3.77;0.07;3.75;-18;30;18;2.91;3.83;3.17;0.0;0.04;0.04;0.48;0.12;0.06;0.32;0.58;0.0;0.7;0.7;0.36;2.29;2.25;1.0;2.81;0.0;4.37;1.0;1.33;1.93;2.09;1.36;1.0;0.87;1.97;0.97;0.274900398406;0.137167895285;0.216566866267;0.0577689243028;2.44;0.47;0.46;0.07;0.82;4.41;4.79;9.67;1.01;0.98;0.94;8.61;4.54;32;71.0;6.03;0.37;3.72;4.29;4.67;0.42;0.42
DavidLiebman_Nica'sDream_FINAL.sv;3.67;3.28;3.71;0.1;0.05;0.1;0.06;0.07;0.07;0.04;0.03;0.11;0.08;0.08;0.07;0.08;0.07;0.98;3.0;3.95;3.88;6.83;1.32;0.0;0.0;0.22;0.49;0.85;0.0;0.74;0.0;0.03;0.35;0.02;0.12;1.0;2.03;5.94;3.71;0.0;1.0;5.23;0.03;0.07;0.27;0.02;0.02;0.15;0.23;0.16;0.05;0.79;0.98;0.81;0.15;10.4;6.56;David Liebman;Nica's Dream;Nica's Dream-1;POSTBOP;LATIN;ss;151.2;COLOR;1992;6.95;3.69;0.11;3.92;-18;37;19;3.03;3.81;2.59;0.01;0.02;0.02;0.36;0.04;0.02;0.19;0.76;0.0;0.45;0.57;0.58;1.94;1.9;1.0;4.04;1.0;7.56;1.0;1.07;2.33;3.28;1.05;1.0;0.92;42.31;0.94;0.338414634146;0.101516244647;0.189312977099;0.0137195121951;2.23;0.5;0.47;0.02;0.72;4.65;4.78;3.5;1.05;0.98;0.86;8.1;4.6;33;72.0;6.39;0.4;3.59;4.1;4.52;0.42;0.42
DavidLiebman_NoGreaterLove_FINAL.sv;3.29;3.22;3.22;0.11;0.07;0.09;0.05;0.1;0.06;0.0;0.0;0.11;0.07;0.07;0.1;0.06;0.11;0.95;3.25;3.38;4.32;6.61;1.44;0.0;0.02;0.44;0.67;0.83;0.0;0.5;0.0;0.05;0.47;0.02;0.15;1.0;2.59;3.57;2.73;0.0;1.19;5.1;0.03;0.06;0.33;0.03;0.04;0.11;0.24;0.11;0.06;0.77;0.97;0.8;0.18;6.03;5.26;David Liebman;No Greater Love;No Greater Love-1;POSTBOP;SWING;ts;209.1;FUNCTIONAL;1996;6.66;3.31;0.1;4.3;-21;42;21;3.02;3.76;2.97;0.03;0.03;0.02;0.54;0.08;0.02;0.23;0.71;0.02;0.5;0.67;0.33;1.61;2.78;1.0;2.89;1.0;4.91;1.0;1.0;2.22;2.42;1.14;1.0;0.86;32.21;0.95;0.281578947368;0.133189834745;0.224274406332;0.0421052631579;2.25;0.53;0.45;0.03;0.72;5.1;4.37;3.0;1.17;0.99;0.95;7.37;4.7;37;62.0;6.99;0.38;4.04;3.72;4.84;0.43;0.43
DavidLiebman_Pablo'sStory_FINAL.sv;3.0;3.6;3.29;0.09;0.03;0.07;0.06;0.08;0.09;0.0;0.01;0.08;0.09;0.1;0.08;0.09;0.12;0.96;3.62;4.57;4.84;6.61;2.21;0.02;0.02;0.32;0.59;0.71;0.0;0.59;0.0;0.06;0.51;0.06;0.21;1.06;2.05;4.31;2.71;1.0;1.18;4.53;0.01;0.05;0.36;0.05;0.01;0.07;0.33;0.07;0.05;0.69;0.98;0.83;0.17;6.34;3.82;David Liebman;Pablo's Story;Pablo's Story-1;POSTBOP;LATIN/FUNK;ss;144.2;MODAL;1988;6.19;4.1;0.18;3.21;-25;40;25;2.29;3.38;2.96;0.02;0.04;0.04;0.49;0.06;0.05;0.36;0.54;0.02;0.64;0.67;0.4;2.19;2.68;1.0;2.49;1.0;3.73;1.04;1.21;2.39;2.95;1.24;1.0;0.91;2.8;0.95;0.36797752809;0.143074716731;0.238396624473;0.0477528089888;2.42;0.49;0.46;0.05;0.78;3.99;4.14;7.0;1.05;0.99;0.96;7.22;4.76;36;72.0;7.53;0.45;3.82;4.05;7.29;0.48;0.48
DavidLiebman_Pendulum_FINAL.sv;3.33;3.2;3.63;0.05;0.0;0.09;0.0;0.07;0.04;0.0;0.11;0.11;0.09;0.09;0.09;0.07;0.19;0.9;3.46;4.13;4.31;6.64;1.34;0.01;0.02;0.6;0.6;0.87;0.0;0.3;0.01;0.07;0.3;0.02;0.11;1.2;3.19;1.91;2.37;1.0;1.32;5.11;0.02;0.04;0.26;0.05;0.03;0.14;0.29;0.13;0.05;0.77;0.99;0.8;0.17;4.55;4.91;David Liebman;Pendulum;Pendulum-1;POSTBOP;FUNK/SWING;ss;258.6;FREE;1988;6.75;3.89;0.16;3.45;-13;29;16;2.64;3.68;2.87;0.02;0.01;0.04;0.66;0.14;0.04;0.22;0.72;0.01;0.5;0.64;0.14;1.47;3.6;1.0;2.74;1.0;4.48;1.2;1.25;2.36;1.63;1.36;1.0;0.8;16.19;0.98;0.270310192024;0.174120838541;0.259615384615;0.0886262924668;2.38;0.46;0.49;0.05;0.77;4.42;4.01;5.25;0.94;0.98;0.93;8.06;4.77;35;71.0;7.3;0.43;3.44;3.89;4.6;0.48;0.48
DavidLiebman_SecretLove_FINAL.sv;3.29;3.21;3.59;0.11;0.05;0.06;0.05;0.07;0.08;0.02;0.04;0.11;0.09;0.07;0.1;0.08;0.07;0.99;3.2;3.57;3.59;6.8;1.94;0.0;0.04;0.55;0.8;0.74;0.0;0.21;0.0;0.19;0.51;0.05;0.21;1.04;2.82;1.69;2.13;0.0;1.84;5.45;0.04;0.08;0.24;0.05;0.04;0.12;0.24;0.12;0.08;0.83;0.94;0.84;0.18;4.38;4.97;David Liebman;Secret Love;Secret Love-1;POSTBOP;LATIN;ts;272.7;FUNCTIONAL;1996;7.02;3.47;0.07;4.48;-19;39;20;3.36;3.97;3.25;0.05;0.05;0.05;0.57;0.23;0.05;0.27;0.64;0.01;0.59;0.73;0.1;1.93;3.07;1.0;2.67;1.0;4.25;1.25;1.32;2.14;1.33;1.92;1.0;0.77;23.44;0.98;0.295950155763;0.205420366347;0.259750390016;0.151090342679;2.35;0.47;0.48;0.05;0.77;4.81;5.05;5.67;0.98;0.98;0.97;6.9;4.73;38;62.0;7.08;0.32;3.45;3.69;3.96;0.49;0.49
DavidLiebman_SoftlyAsInAMorningSunrise_FINAL.sv;3.08;3.2;3.39;0.04;0.02;0.08;0.01;0.06;0.13;0.0;0.03;0.07;0.17;0.05;0.1;0.09;0.14;0.9;3.09;4.02;4.77;6.52;1.74;0.01;0.03;0.69;0.58;0.8;0.0;0.17;0.01;0.11;0.38;0.03;0.16;1.14;4.38;1.72;2.7;1.0;1.3;5.03;0.02;0.06;0.3;0.04;0.02;0.1;0.29;0.11;0.05;0.75;0.98;0.83;0.17;4.77;5.18;David Liebman;Softly as in a Morning Sunrise;Softly as in a Morning Sunrise-1;POSTBOP;SWING;ss;260.7;MODAL;1988;6.68;3.7;0.16;3.54;-23;47;24;2.62;3.63;2.93;0.03;0.02;0.05;0.65;0.18;0.05;0.27;0.65;0.01;0.57;0.66;0.09;1.38;3.79;1.05;2.13;1.0;3.28;1.15;1.11;2.34;1.53;1.45;1.0;0.75;33.69;0.93;0.197632058288;0.173611422442;0.250683682771;0.0965391621129;2.41;0.48;0.48;0.04;0.77;4.31;4.1;4.8;1.0;0.96;0.83;7.17;4.6;32;72.0;6.89;0.47;3.64;3.88;5.84;0.49;0.49
DavidLiebman_ThereWillNeverBeAnotherYou_FINAL.sv;3.45;3.25;3.43;0.09;0.05;0.05;0.04;0.07;0.08;0.01;0.02;0.09;0.11;0.06;0.13;0.07;0.12;0.96;3.0;3.95;3.74;6.82;1.78;0.0;0.01;0.28;0.62;0.77;0.0;0.64;0.0;0.07;0.47;0.04;0.18;1.0;2.03;4.42;2.95;0.0;1.42;5.47;0.02;0.09;0.22;0.07;0.02;0.13;0.23;0.15;0.07;0.82;0.98;0.8;0.17;8.24;5.21;David Liebman;There Will Never Be Another You;There Will Never Be Another You-1;POSTBOP;SWING;ts;151.7;FUNCTIONAL;1996;7.05;3.87;0.08;3.8;-17;34;17;2.95;3.85;3.05;0.01;0.03;0.03;0.45;0.08;0.05;0.29;0.62;0.01;0.59;0.67;0.42;2.32;2.21;1.0;2.97;1.0;4.47;1.0;1.4;2.04;2.28;1.43;1.0;0.89;10.9;0.99;0.332916145181;0.13750466592;0.232456140351;0.0425531914894;2.54;0.46;0.46;0.07;0.82;4.58;4.41;5.67;0.99;0.98;0.95;7.13;4.68;38;63.0;6.77;0.37;3.37;3.9;4.05;0.44;0.44
DavidMurray_AskMeNow_FINAL.sv;3.0;3.33;3.31;0.1;0.04;0.07;0.01;0.04;0.1;0.0;0.02;0.11;0.11;0.1;0.12;0.06;0.11;0.93;0.0;4.67;3.63;6.42;2.14;0.0;0.0;0.48;0.75;0.56;0.0;0.48;0.0;0.04;0.71;0.02;0.42;0.0;2.89;3.29;2.87;0.0;1.0;5.16;0.04;0.09;0.21;0.04;0.01;0.13;0.32;0.09;0.08;0.78;0.89;0.82;0.17;8.99;4.91;David Murray;Ask Me Now;Ask Me Now-1;POSTBOP;SWING;ts;131.2;FUNCTIONAL;1991;6.4;4.67;0.04;4.05;-10;30;20;3.1;3.69;2.7;0.0;0.03;0.03;0.55;0.06;0.04;0.54;0.39;0.0;0.58;0.62;0.36;3.15;2.96;1.0;2.69;1.0;2.89;1.0;1.11;2.48;2.7;1.14;1.0;0.88;1.23;0.94;0.391459074733;0.133871377733;0.235714285714;0.0320284697509;2.36;0.42;0.54;0.04;0.75;4.71;4.62;0.0;0.77;0.94;0.9;7.67;4.62;39;61.0;7.48;0.4;4.4;4.57;5.04;0.39;0.39
DavidMurray_BluesForTwo-1_FINAL.sv;3.17;3.15;3.65;0.09;0.04;0.06;0.07;0.06;0.11;0.0;0.0;0.14;0.06;0.08;0.12;0.04;0.13;0.92;3.08;3.63;3.81;6.63;2.55;0.02;0.01;0.06;0.27;0.57;0.01;0.91;0.0;0.02;0.57;0.03;0.37;1.0;1.08;11.85;6.29;0.0;1.19;5.16;0.02;0.04;0.28;0.06;0.02;0.14;0.28;0.12;0.05;0.77;0.96;0.87;0.19;15.46;3.88;David Murray;Blues for Two;Blues for Two-1;POSTBOP;SWING;ts;60.4;BLUES;1990;6.87;3.4;0.11;3.79;-33;55;33;2.7;3.7;1.72;0.0;0.04;0.02;0.1;0.04;0.05;0.47;0.43;0.02;0.66;0.37;0.84;2.65;1.18;1.11;2.31;1.0;2.67;1.0;1.1;3.66;6.55;1.08;1.0;0.98;2.48;0.96;0.44930875576;0.0885827515405;0.16948501153;0.00768049155146;2.49;0.47;0.48;0.06;0.8;4.11;4.03;8.2;0.98;0.95;0.92;7.49;4.77;47;63.0;7.82;0.47;3.65;4.01;4.71;0.51;0.51
DavidMurray_BluesForTwo-2_FINAL.sv;0.0;3.0;3.4;0.05;0.04;0.11;0.06;0.07;0.11;0.0;0.0;0.12;0.06;0.07;0.17;0.05;0.1;0.92;3.0;3.0;3.27;5.85;3.09;0.07;0.03;0.1;0.46;0.35;0.01;0.82;0.0;0.05;0.69;0.06;0.51;1.0;1.09;5.37;3.18;0.0;1.2;4.5;0.02;0.03;0.37;0.02;0.02;0.17;0.27;0.07;0.03;0.7;0.97;0.9;0.18;10.86;2.83;David Murray;Blues for Two;Blues for Two-2;POSTBOP;SWING;ts;61.3;BLUES;1990;5.67;3.0;0.1;3.96;-14;35;21;2.78;3.36;2.32;0.0;0.09;0.04;0.12;0.09;0.04;0.59;0.24;0.03;0.69;0.59;0.75;2.61;1.15;1.1;1.78;1.0;1.36;1.0;1.0;2.37;3.83;1.1;0.0;0.92;1.7;0.93;0.516129032258;0.103625753999;0.19918699187;0.00806451612903;2.16;0.49;0.5;0.02;0.7;3.5;3.38;0.0;0.98;0.92;0.78;7.5;4.2;28;61.0;6.31;0.6;3.43;3.14;4.67;0.66;0.66
DavidMurray_BodyAndSoul-1_FINAL.sv;3.0;3.17;3.18;0.1;0.04;0.06;0.03;0.05;0.11;0.01;0.02;0.12;0.07;0.09;0.14;0.07;0.09;0.95;3.88;3.43;4.0;6.68;2.38;0.01;0.0;0.06;0.29;0.45;0.0;0.92;0.0;0.02;0.63;0.04;0.5;0.0;1.03;13.0;6.8;0.0;1.0;5.42;0.04;0.08;0.24;0.04;0.03;0.15;0.24;0.07;0.1;0.82;0.92;0.87;0.16;17.28;4.75;David Murray;Body and Soul;Body and Soul-1;POSTBOP;BALLAD;ts;65.9;FUNCTIONAL;1983;7.1;3.67;0.07;4.44;-16;41;25;3.36;3.95;1.65;0.0;0.02;0.01;0.14;0.03;0.04;0.64;0.29;0.0;0.54;0.42;0.82;4.16;1.36;1.0;2.81;1.0;2.1;1.0;1.1;3.73;6.43;1.0;0.0;0.97;2.96;0.96;0.45390070922;0.0848134991119;0.169626998224;0.0;2.38;0.46;0.51;0.04;0.75;4.0;3.93;3.0;0.9;0.96;0.91;9.38;4.87;44;63.0;8.2;0.47;4.0;3.69;4.62;0.39;0.39
DavidMurray_BodyAndSoul-2_FINAL.sv;3.0;3.0;3.0;0.12;0.01;0.04;0.01;0.05;0.1;0.0;0.01;0.19;0.16;0.07;0.11;0.03;0.1;0.86;3.25;3.6;3.6;6.1;2.2;0.0;0.0;0.06;0.25;0.39;0.0;0.93;0.0;0.01;0.73;0.03;0.58;0.0;1.29;17.0;9.13;0.0;1.0;5.06;0.0;0.07;0.26;0.12;0.01;0.14;0.19;0.12;0.08;0.79;0.82;0.89;0.15;17.43;4.82;David Murray;Body and Soul;Body and Soul-2;POSTBOP;BALLAD;ts;65.1;FUNCTIONAL;1983;5.95;3.44;0.15;3.1;-9;15;9;2.49;3.52;1.56;0.0;0.02;0.01;0.14;0.03;0.04;0.64;0.3;0.0;0.62;0.42;0.82;3.72;1.5;1.0;2.64;0.0;1.87;1.0;1.5;4.14;7.44;1.0;0.0;0.95;15.54;0.86;0.527397260274;0.0844591402929;0.162068965517;0.00684931506849;2.69;0.47;0.41;0.12;0.88;4.5;4.5;3.75;1.13;0.91;0.89;7.83;4.28;28;59.0;6.37;0.37;3.86;4.0;4.92;0.36;0.36
DavidMurray_ChelseaBridge_FINAL.sv;3.5;3.5;3.45;0.12;0.04;0.03;0.04;0.05;0.08;0.0;0.01;0.12;0.09;0.11;0.13;0.03;0.14;0.92;3.5;4.27;3.92;6.4;2.63;0.02;0.01;0.06;0.25;0.49;0.01;0.92;0.0;0.02;0.59;0.05;0.44;1.0;1.3;13.82;7.35;0.0;1.0;4.96;0.05;0.06;0.3;0.04;0.02;0.13;0.3;0.06;0.04;0.75;0.94;0.85;0.16;17.77;3.93;David Murray;Chelsea Bridge;Chelsea Bridge-1;POSTBOP;BALLAD;ts;53.0;FUNCTIONAL;1990;6.66;3.95;0.1;4.3;-23;47;24;2.97;3.7;1.48;0.0;0.03;0.02;0.09;0.03;0.07;0.52;0.37;0.02;0.66;0.38;0.86;2.94;1.59;1.0;2.42;1.0;2.53;1.0;1.52;4.81;8.54;1.0;0.0;0.98;0.35;0.92;0.477891156463;0.0838982952636;0.164395229983;0.00340136054422;2.32;0.45;0.51;0.04;0.76;4.5;4.86;14.0;0.87;0.98;0.9;8.5;4.91;38;60.0;8.16;0.38;4.67;4.76;5.82;0.46;0.46
DexterGordon_Cheesecake_FINAL.sv;3.27;3.22;3.35;0.12;0.03;0.05;0.02;0.02;0.11;0.0;0.02;0.15;0.11;0.08;0.14;0.04;0.1;0.9;3.22;3.83;3.55;6.46;2.41;0.01;0.04;0.75;0.52;0.64;0.0;0.1;0.0;0.12;0.61;0.06;0.29;1.0;4.57;1.27;2.6;1.0;1.11;5.05;0.02;0.06;0.24;0.04;0.02;0.11;0.33;0.12;0.07;0.76;0.89;0.84;0.17;5.15;4.75;Dexter Gordon;Cheese Cake;Cheese Cake-1;HARDBOP;SWING;ts;220.9;FUNCTIONAL;1962;6.58;3.47;0.06;3.5;-14;31;17;2.68;3.63;2.96;0.02;0.04;0.06;0.63;0.24;0.08;0.53;0.36;0.0;0.74;0.65;0.05;1.88;3.34;1.0;1.58;0.0;1.49;1.06;1.05;2.13;1.28;1.49;1.0;0.75;13.78;0.98;0.302721088435;0.202624320597;0.286201022147;0.119047619048;2.39;0.44;0.52;0.04;0.76;3.86;4.08;3.67;0.85;0.94;0.91;7.55;4.19;31;63.0;5.11;0.43;3.93;3.78;5.34;0.46;0.46
